# Chi2 Rg SupportVolume
5.84230e+02 1.78325e+02 6.49648e+07
5.83502e+02 1.78280e+02 6.49648e+07
5.82775e+02 1.78234e+02 6.49648e+07
5.82051e+02 1.78191e+02 6.49648e+07
5.81327e+02 1.78150e+02 6.49648e+07
5.80605e+02 1.78109e+02 6.49648e+07
5.79885e+02 1.78069e+02 6.49648e+07
5.79169e+02 1.78031e+02 6.49648e+07
5.78452e+02 1.77994e+02 6.49648e+07
5.77736e+02 1.77958e+02 6.49648e+07
5.77021e+02 1.77924e+02 6.49648e+07
5.76306e+02 1.77887e+02 6.49648e+07
5.75592e+02 1.77851e+02 6.49648e+07
5.74878e+02 1.77814e+02 6.49648e+07
5.74166e+02 1.77778e+02 6.49648e+07
5.73456e+02 1.77746e+02 6.49648e+07
5.72748e+02 1.77720e+02 6.49648e+07
5.72044e+02 1.77695e+02 6.49648e+07
5.71340e+02 1.77672e+02 6.49648e+07
5.70636e+02 1.77647e+02 6.49648e+07
5.69933e+02 1.77623e+02 6.49648e+07
5.69238e+02 1.77599e+02 6.49648e+07
5.68546e+02 1.77576e+02 6.49648e+07
5.67857e+02 1.77555e+02 6.49648e+07
5.67168e+02 1.77534e+02 6.49648e+07
5.66481e+02 1.77513e+02 6.49648e+07
5.65797e+02 1.77494e+02 6.49648e+07
5.65116e+02 1.77476e+02 6.49648e+07
5.64438e+02 1.77458e+02 6.49648e+07
5.63760e+02 1.77440e+02 6.49648e+07
5.63081e+02 1.77421e+02 6.49648e+07
5.62403e+02 1.77400e+02 6.49648e+07
5.61726e+02 1.77380e+02 6.49648e+07
5.61054e+02 1.77362e+02 6.49648e+07
5.60382e+02 1.77344e+02 6.49648e+07
5.59710e+02 1.77326e+02 6.49648e+07
5.59043e+02 1.77307e+02 6.49648e+07
5.58377e+02 1.77286e+02 6.49648e+07
5.57718e+02 1.77267e+02 6.49648e+07
5.57063e+02 1.77249e+02 6.49648e+07
5.56410e+02 1.77231e+02 6.49648e+07
5.55759e+02 1.77212e+02 6.49648e+07
5.55107e+02 1.77195e+02 6.49648e+07
5.54459e+02 1.77178e+02 6.49648e+07
5.53814e+02 1.77164e+02 6.49648e+07
5.53171e+02 1.77150e+02 6.49648e+07
5.52528e+02 1.77135e+02 6.49648e+07
5.51885e+02 1.77121e+02 6.49648e+07
5.51238e+02 1.77108e+02 6.49648e+07
5.50594e+02 1.77096e+02 6.49648e+07
5.49949e+02 1.77084e+02 6.49648e+07
5.49305e+02 1.77071e+02 6.49648e+07
5.48663e+02 1.77058e+02 6.49648e+07
5.48023e+02 1.77046e+02 6.49648e+07
5.47384e+02 1.77033e+02 6.49648e+07
5.46746e+02 1.77020e+02 6.49648e+07
5.46111e+02 1.77008e+02 6.49648e+07
5.45480e+02 1.76995e+02 6.49648e+07
5.44850e+02 1.76983e+02 6.49648e+07
5.44219e+02 1.76972e+02 6.49648e+07
5.43589e+02 1.76963e+02 6.49648e+07
5.42960e+02 1.76956e+02 6.49648e+07
5.42334e+02 1.76952e+02 6.49648e+07
5.41705e+02 1.76949e+02 6.49648e+07
5.41078e+02 1.76948e+02 6.49648e+07
5.40453e+02 1.76947e+02 6.49648e+07
5.39831e+02 1.76948e+02 6.49648e+07
5.39209e+02 1.76949e+02 6.49648e+07
5.38588e+02 1.76950e+02 6.49648e+07
5.37969e+02 1.76950e+02 6.49648e+07
5.37349e+02 1.76948e+02 6.49648e+07
5.36734e+02 1.76946e+02 6.49648e+07
5.36122e+02 1.76942e+02 6.49648e+07
5.35516e+02 1.76938e+02 6.49648e+07
5.34914e+02 1.76935e+02 6.49648e+07
5.34314e+02 1.76934e+02 6.49648e+07
5.33715e+02 1.76933e+02 6.49648e+07
5.33116e+02 1.76933e+02 6.49648e+07
5.32516e+02 1.76934e+02 6.49648e+07
5.31920e+02 1.76936e+02 6.49648e+07
5.31323e+02 1.76938e+02 6.49648e+07
5.30724e+02 1.76940e+02 6.49648e+07
